ID,Question,Difficulty,A,B,C,D,Correct Answer
1,Which of the following is a goal of Minesweeper?,1,reveal all cells including mines,reveal all non mine cells without losing all lives,place flags on every cell,finish as fast as possible,B
2, In Minesweeper what does the number on a revealed cell represent?,1,The number of flags on the board,The number of mines in the 8 neighboring cells,The total number of mines on the board,The number of revealed cells so far,B
3,What happens if you click directly on a mine in a normal Minesweeper game (without special rules),1,Nothing happens og,you gain a life ,the game end and you lose,all mines fly and disappear,C
4,How do you usually mark a suspected mine on a cell?,1,by double clicking,by right clicking,by pressing the space bar,by pressing the letter N,B
5,In our project how many players play together in one game?,1,two players,six players,seven players,one player,A
6,A cell shows the number 3 What does this tell you?,2,There are 3 mines somewhere on the board,there are 3 mines among the 8 neighbors of that cell,there are 3 flags on the board,you have 3 lives left,B
7,In our project what is special about the Question (Q) cells?,2,They always add points without risk,They open a multiple-choice question that can give or take points and lives,They immediately reveal all mines,They change the board difficulty,B
8,What happens if you flag a cell that is NOT actually a mine at the end of the game,2,you lose points for each wrong flag,you gain points for trying hard,all flags are ignored,the game restarts,A
9,What is the advantage of playing carefully near numbers instead of clicking random cells?,2,It reduces the chance to hit a mine and lose lives,It always guarantees a win,It increases the number of mines,It disables surprise cells,A
10,In the two board cooperative game whose lives are affected when a player hits a mine?,2,Only the active player’s lives,Only the other player’s lives,No one’s lives are reduced,The shared team lives are reduced,D
11,What is a good general strategy when you must choose between two cells with equal mine probability?,3,Always click the left cell,Place flags on both cells,Use global information from other areas to reduce the guess,Quit the game immediately,C
12,In our project why is it important that the first click on a board is always safe (never a mine)?,3,It makes the game shorter,It ensures a fair start and avoids immediate random loss,It increases the number of mines,It disables surprise cells,B
13,You see three adjacent numbered cells with values 1 2  and 1 in a straight line Sometimes this pattern helps you detect a specific mine position What is this technique generally called?,3,Random guessing,Pattern recognition / pattern solving,Brute-force clicking,Flag sweeping,B
14,region of empty cells is revealed automatically (cascade) Which cells will definitely NOT be revealed by the cascade?,3,Mines,Question cells,surprise cells,number cells,A
15,Why can flagging every suspected mine sometimes be a bad idea in a game with a shared team score?,3,Flags have no effect on score,Flags reduce the number of lives,"Wrong flags cost points, so aggressive flagging can reduce the final score",The game forbids flags completely,C
16,When solving a Minesweeper board logically what is usually the best next step if all obvious safe moves are exhausted?,4,Pick a random unrevealed cell and click it,Flag all remaining cells as mines,Restart the game immediately,Look for advanced patterns and constraints in other parts of the board,D
17,In a two-player cooperative Minesweeper what is a good strategy when the current player reaches a forced guess situation (no 100% safe move)?,4,Ignore the board and pass the turn,Always click the cell with the highest risk,Discuss with the teammate to combine information and choose the least risky cell,Always choose a Question cell instead,C
18,In our extended game Question cells can both give and take lives and points Strategically when is it most reasonable to activate a Question cell?,4,When the team has many lives and needs a big score boost,Only when the team has 1 life left,At the very first move of the game,Never – Question cells are always bad,A
19,Suppose the team has very low lives but high score and a Surprise cell is available Which strategy fits a risk averse (שונא סיכון) team?,4,Always activate the Surprise immediately,"Avoid using the Surprise, because losing a life can end the game",Place flags randomly instead,Reset the game,B
20,In a fully solved Minesweeper board (no uncertainty left) what must be true about all non-mine cells?,4,They are all flagged,They are all revealed,They are all hidden,They are all Question cells,B
