ID,Question,Difficulty,A,B,C,D,Correct Answer
1,What is the main goal of a functional requirement?,1,Describe what the system must do,Describe the programming language,Describe team salaries,Describe server hardware,A
2,Which test type focuses on internal code paths and conditions?,1,Black box testing,White box testing,Acceptance testing,Exploratory testing,B
3,In Scrum what is a Sprint?,1,A bug fixing tool,A database table,A fixed time iteration to deliver work,A design pattern,C
4,Which document usually lists system requirements in an organized way?,1,Source code,SRS,User password list,CPU manual,B
5,What is the purpose of a code review?,1,Improve quality and find issues early,Replace unit tests,Deploy to production,Increase network bandwidth,A
6,Which is an example of a non-functional requirement?,2,System must allow user login,System must respond within 2 seconds,System must store player names,System must show a scoreboard,B
7,What is equivalence partitioning used for?,2,Guarantee zero defects,Reduce number of test cases while keeping coverage,Create class diagrams automatically,Measure developer productivity,B
8,Which maintenance type adds new features requested by users?,2,Corrective,Adaptive,Perfective,Emergency,C
9,What is the key benefit of iterative development?,2,Early feedback and gradual improvement,No need for planning,No need for testing,Only one release at the end,A
10,In a walkthrough who usually leads the meeting?,2,A database admin approves,A compiler runs tests,A customer signs off,The author presents the work,D
11,A good use case description should primarily include,3,Steps between actor and system to reach a goal,Exact database indexes,Exact UI colors for every screen,The full source code,A
12,Boundary value analysis is most useful when inputs,3,Are always text strings,Have minimum and maximum limits,Are randomly generated only,Never change over time,B
13,What is the main risk of skipping regression testing?,3,New features cannot be coded,Old features may break after changes,CPU will overheat,Network cable will fail,B
14,Which review type is the most formal with checklists and defined roles?,3,Inspection,Pair programming,Brainstorming,Daily standup,A
15,"In layered architecture, what is the main purpose of layers?",3,Make UI slower intentionally,Avoid writing requirements,Separate responsibilities and reduce coupling,Replace all unit tests,C
16,"Your Minesweeper app has two screens showing the same game state, and both must update after every move. Which design pattern matches this need?",4,Prototype,Adapter,Singleton,Observer,D
17,"You need a common algorithm for showing a popup result, but each popup has a different title and icon. Which pattern fits best?",4,Flyweight,Bridge,Template Method,Facade,C
18,"A requirement says the system must log every game result with time, difficulty, players, and score. Which is the best verification approach?",4,Review the stored history file and compare to expected records,Run only performance tests,Ask one user if it looks correct,Check only the GUI colors,A
19,Two teams argue about whether a bug is in the model or the view. What practice reduces this confusion most?,4,Add more global variables,Clear separation of concerns using MVC boundaries,Remove all interfaces,Only test manually at the end,B
20,A test fails only when the board is almost full of special cells. What is the best next step?,4,Ignore it because it is rare,Add targeted stress tests and analyze edge cases,Remove special cells from the game,Disable random generation forever,B
