DateTime,Difficulty,Player1,Player2,Score,Won
2025-11-26T19:07:32.560948,EASY,Player 1,Player 2,1,false
2025-11-26T19:23:33.6126064,EASY,Player 1,Player 2,197,true
2025-11-29T17:55:37.9556172,EASY,Player 1,Player 2,67,true
2025-12-07T19:29:20.1878055,EASY,Player 1,Player 2,93,true
2025-12-08T11:43:25.4506141,EASY,Player 1,Player 2,25,false
2025-12-08T12:23:09.1171916,EASY,Player 1,Player 2,93,true
2025-12-08T16:33:56.9811353,EASY,Player 1,Player 2,92,true
2025-12-08T17:22:30.354553,EASY,Player 1,Player 2,106,true
2025-12-08T17:27:25.0143828,EASY,Player 1,Player 2,102,true
2025-12-08T17:42:00.5572469,EASY,Player 1,Player 2,106,true
2025-12-17T16:58:50.1099481,EASY,Player 1,Player 2,-14,false
2025-12-17T17:01:17.4180356,EASY,Player 1,Player 2,13,false
2025-12-17T17:55:00.0781781,EASY,Player 1,Player 2,116,true
2025-12-20T15:26:49.0561885,EASY,Player 1,Player 2,25,false
2026-01-08T18:04:16.1499625,EASY,Player 1,Player 2,37,true
2026-01-08T19:48:10.7200577,EASY,Player 1,Player 2,8,false
2026-01-08T19:49:13.2176837,EASY,Player 1,Player 2,9,false
2026-01-08T19:50:33.8034605,EASY,Player 1,Player 2,14,false
2026-01-20T17:32:02.9057368,EASY,Player 1,Player 2,65,true
2026-01-24T22:13:04.9472725,EASY,a,d,15,false
2026-01-24T22:27:20.7016967,EASY,aa,sssssssss,21,false
2026-01-24T22:39:41.2491534,EASY,a,dd,-13,false
